topic_cluster,source_concept,search_intent,locale,current_primary_term,recommended_primary_term,accepted_alternatives,terms_to_avoid,official_source,SERP_evidence,GSC_evidence,confidence,notes
Käytetyn puhelimen tarkistus ja ostaminen,check and buy a used Android phone,Commercial investigation: reduce purchase risk,nb-NO,sjekke en brukt Android-telefon,sjekke en brukt Android-telefon,used phone; condition check; pre-purchase check,Danish or Nynorsk wording; untranslated English except protected terms,runcheck-translation-profile-nb-NO.md; current localized corpus; no single official UI term governs this broad concept,"Query: Norge ""brukt Android-telefon"" sjekk ""renovert telefon"" (nb-NO/Norway, 2026-07-15). Results were insufficient to prove one refurbished synonym; retain profile term and require native review for commercial copy.",Not available. No Search Console export or API result was found in the project/reports on 2026-07-15.,MEDIUM,"Important source IDs: 2, 6, 141, 144. Potential overlap: 2 vs 6 vs 141. Current term is corpus/title evidence, not a search-volume claim."
Käytetyn puhelimen tarkistus ja ostaminen,check and buy a used Android phone,Commercial investigation: reduce purchase risk,da-DK,tjek af en brugt Android-telefon,tjek af en brugt Android-telefon,used phone; condition check; pre-purchase check,Norwegian/Swedish wording; untranslated English except protected terms,runcheck-translation-profile-da-DK.md; current localized corpus; no single official UI term governs this broad concept,"Query: Danmark ""brugt Android-telefon"" tjek ""istandsat telefon"" (da-DK/Denmark, 2026-07-15). Local retailer result used genbrugt Android-telefon and professionelt istandsat; intent differs from ordinary used-device checks. https://elektroniks.dk/Kategori/telefoner/android-refurbished/",Not available. No Search Console export or API result was found in the project/reports on 2026-07-15.,MEDIUM,"Important source IDs: 2, 6, 141, 144. Potential overlap: 2 vs 6 vs 141. Current term is corpus/title evidence, not a search-volume claim."
Käytetyn puhelimen tarkistus ja ostaminen,check and buy a used Android phone,Commercial investigation: reduce purchase risk,de-DE,gebrauchtes Android-Smartphone prüfen,gebrauchtes Android-Smartphone prüfen,used phone; condition check; pre-purchase check,unexplained English marketing terminology or invented compounds,runcheck-translation-profile-de-DE.md; current localized corpus; no single official UI term governs this broad concept,"Query: Deutschland ""gebrauchtes Android-Smartphone"" prüfen ""generalüberholtes Smartphone"" (de-DE/Germany, 2026-07-15). Results were insufficient for volume claims; profile/corpus terms are retained with MEDIUM confidence.",Not available. No Search Console export or API result was found in the project/reports on 2026-07-15.,MEDIUM,"Important source IDs: 2, 6, 141, 144. Potential overlap: 2 vs 6 vs 141. Current term is corpus/title evidence, not a search-volume claim."
Käytetyn puhelimen tarkistus ja ostaminen,check and buy a used Android phone,Commercial investigation: reduce purchase risk,fr-FR,vérifier un smartphone Android d’occasion,vérifier un smartphone Android d’occasion,used phone; condition check; pre-purchase check,Canadian-French regional wording or unexplained English head terms,runcheck-translation-profile-fr-FR.md; current localized corpus; no single official UI term governs this broad concept,"Query: France ""smartphone Android d'occasion"" vérifier ""smartphone reconditionné"" (fr-FR/France, 2026-07-15). Local editorial/retail results distinguish d'occasion from reconditionné. https://www.quelbonplan.fr/quelnumerique/67c8121e6ce263b587581a50; https://www.reepeat.fr/produits/smartphones-et-objets-connectes/smartphone",Not available. No Search Console export or API result was found in the project/reports on 2026-07-15.,MEDIUM,"Important source IDs: 2, 6, 141, 144. Potential overlap: 2 vs 6 vs 141. Current term is corpus/title evidence, not a search-volume claim."
Käytetyn puhelimen tarkistus ja ostaminen,check and buy a used Android phone,Commercial investigation: reduce purchase risk,es-ES,comprobar un móvil Android de segunda mano,comprobar un móvil Android de segunda mano,used phone; condition check; pre-purchase check,Latin American celular/computadora; unexplained English head terms,runcheck-translation-profile-es-ES.md; current localized corpus; no single official UI term governs this broad concept,"Query: España ""móvil Android de segunda mano"" comprobar ""móvil reacondicionado"" (es-ES/Spain, 2026-07-15). Spanish editorial results repeat móvil de segunda mano and móvil reacondicionado and distinguish the intents. https://www.elespanol.com/elandroidelibre/tutoriales/trucos/20230624/claves-fijarse-comprar-movil-segunda-mano/772672835_0.html; https://www.todoandroid.es/que-son-los-moviles-reacondicionados/",Not available. No Search Console export or API result was found in the project/reports on 2026-07-15.,MEDIUM,"Important source IDs: 2, 6, 141, 144. Potential overlap: 2 vs 6 vs 141. Current term is corpus/title evidence, not a search-volume claim."
Käytetyn puhelimen tarkistus ja ostaminen,check and buy a used Android phone,Commercial investigation: reduce purchase risk,it-IT,controllare uno smartphone Android usato,controllare uno smartphone Android usato,used phone; condition check; pre-purchase check,Spanish/other-market wording; unexplained English head terms,runcheck-translation-profile-it-IT.md; current localized corpus; no single official UI term governs this broad concept,"Query: Italia ""smartphone Android usato"" controllare ""smartphone ricondizionato"" (it-IT/Italy, 2026-07-15). Consumer/editorial results distinguish usato from ricondizionato. https://www.altroconsumo.it/hi-tech/smartphone/speciali/smartphone-ricondizionati; https://www.smartgeneration.it/vendere-smartphone-android-online/",Not available. No Search Console export or API result was found in the project/reports on 2026-07-15.,MEDIUM,"Important source IDs: 2, 6, 141, 144. Potential overlap: 2 vs 6 vs 141. Current term is corpus/title evidence, not a search-volume claim."
Kunnostetut puhelimet,refurbished Android phone,Commercial investigation: distinguish refurbished from ordinary used,fi-FI,kunnostettu puhelin,kunnostettu puhelin,certified or professionally refurbished wording when the seller actually provides that process,untranslated English except protected terms; Swedish/other-market variants,runcheck-translation-profile-fi-FI.md; current localized corpus; no single official UI term governs this broad concept,"Query: ""käytetty Android-puhelin"" tarkistus kunnostettu puhelin (fi-FI/Finland, 2026-07-15). Local operator/retailer titles used käytetty Android-puhelin and kunnostettu puhelin. https://www.telia.fi/kauppa/puhelimet/kaytetyt-android-puhelimet; https://hobbyhall.fi/fi/puhelimet-alylaitteet-ja-kamerat/kunnostetut-puhelimet",Not available. No Search Console export or API result was found in the project/reports on 2026-07-15.,MEDIUM,"Important source IDs: 2, 6, 141. Potential overlap: used vs refurbished intent must stay separate. Current term is corpus/title evidence, not a search-volume claim."
Kunnostetut puhelimet,refurbished Android phone,Commercial investigation: distinguish refurbished from ordinary used,sv-SE,rekonditionerad telefon,rekonditionerad telefon,certified or professionally refurbished wording when the seller actually provides that process,untranslated English except protected terms; Finland-Swedish administrative wording,runcheck-translation-profile-sv-SE.md; current localized corpus; no single official UI term governs this broad concept,"Query: ""begagnad Android-telefon"" kontroll ""rekonditionerad telefon"" Sverige (sv-SE/Sweden, 2026-07-15). Local retailer titles/text used begagnad Android and rekonditionerad. https://shop.inrego.se/android/",Not available. No Search Console export or API result was found in the project/reports on 2026-07-15.,LOW,"Important source IDs: 2, 6, 141. Potential overlap: used vs refurbished intent must stay separate. Current term is corpus/title evidence, not a search-volume claim."
Kunnostetut puhelimet,refurbished Android phone,Commercial investigation: distinguish refurbished from ordinary used,nb-NO,renovert telefon,renovert telefon,certified or professionally refurbished wording when the seller actually provides that process,Danish istandsatt; do not force English refurbished without explanation,runcheck-translation-profile-nb-NO.md; current localized corpus; no single official UI term governs this broad concept,"Query: Norge ""brukt Android-telefon"" sjekk ""renovert telefon"" (nb-NO/Norway, 2026-07-15). Results were insufficient to prove one refurbished synonym; retain profile term and require native review for commercial copy.",Not available. No Search Console export or API result was found in the project/reports on 2026-07-15.,LOW,"Important source IDs: 2, 6, 141. Potential overlap: used vs refurbished intent must stay separate. Current term is corpus/title evidence, not a search-volume claim."
Kunnostetut puhelimet,refurbished Android phone,Commercial investigation: distinguish refurbished from ordinary used,da-DK,istandsat telefon,istandsat telefon,certified or professionally refurbished wording when the seller actually provides that process,Norwegian/Swedish wording; untranslated English except protected terms,runcheck-translation-profile-da-DK.md; current localized corpus; no single official UI term governs this broad concept,"Query: Danmark ""brugt Android-telefon"" tjek ""istandsat telefon"" (da-DK/Denmark, 2026-07-15). Local retailer result used genbrugt Android-telefon and professionelt istandsat; intent differs from ordinary used-device checks. https://elektroniks.dk/Kategori/telefoner/android-refurbished/",Not available. No Search Console export or API result was found in the project/reports on 2026-07-15.,LOW,"Important source IDs: 2, 6, 141. Potential overlap: used vs refurbished intent must stay separate. Current term is corpus/title evidence, not a search-volume claim."
Kunnostetut puhelimet,refurbished Android phone,Commercial investigation: distinguish refurbished from ordinary used,de-DE,generalüberholtes Smartphone,generalüberholtes Smartphone,certified or professionally refurbished wording when the seller actually provides that process,unexplained English marketing terminology or invented compounds,runcheck-translation-profile-de-DE.md; current localized corpus; no single official UI term governs this broad concept,"Query: Deutschland ""gebrauchtes Android-Smartphone"" prüfen ""generalüberholtes Smartphone"" (de-DE/Germany, 2026-07-15). Results were insufficient for volume claims; profile/corpus terms are retained with MEDIUM confidence.",Not available. No Search Console export or API result was found in the project/reports on 2026-07-15.,MEDIUM,"Important source IDs: 2, 6, 141. Potential overlap: used vs refurbished intent must stay separate. Current term is corpus/title evidence, not a search-volume claim."
Kunnostetut puhelimet,refurbished Android phone,Commercial investigation: distinguish refurbished from ordinary used,fr-FR,smartphone reconditionné,smartphone reconditionné,certified or professionally refurbished wording when the seller actually provides that process,Canadian-French regional wording or unexplained English head terms,runcheck-translation-profile-fr-FR.md; current localized corpus; no single official UI term governs this broad concept,"Query: France ""smartphone Android d'occasion"" vérifier ""smartphone reconditionné"" (fr-FR/France, 2026-07-15). Local editorial/retail results distinguish d'occasion from reconditionné. https://www.quelbonplan.fr/quelnumerique/67c8121e6ce263b587581a50; https://www.reepeat.fr/produits/smartphones-et-objets-connectes/smartphone",Not available. No Search Console export or API result was found in the project/reports on 2026-07-15.,MEDIUM,"Important source IDs: 2, 6, 141. Potential overlap: used vs refurbished intent must stay separate. Current term is corpus/title evidence, not a search-volume claim."
Kunnostetut puhelimet,refurbished Android phone,Commercial investigation: distinguish refurbished from ordinary used,es-ES,móvil reacondicionado,móvil reacondicionado,certified or professionally refurbished wording when the seller actually provides that process,Latin American celular/computadora; unexplained English head terms,runcheck-translation-profile-es-ES.md; current localized corpus; no single official UI term governs this broad concept,"Query: España ""móvil Android de segunda mano"" comprobar ""móvil reacondicionado"" (es-ES/Spain, 2026-07-15). Spanish editorial results repeat móvil de segunda mano and móvil reacondicionado and distinguish the intents. https://www.elespanol.com/elandroidelibre/tutoriales/trucos/20230624/claves-fijarse-comprar-movil-segunda-mano/772672835_0.html; https://www.todoandroid.es/que-son-los-moviles-reacondicionados/",Not available. No Search Console export or API result was found in the project/reports on 2026-07-15.,MEDIUM,"Important source IDs: 2, 6, 141. Potential overlap: used vs refurbished intent must stay separate. Current term is corpus/title evidence, not a search-volume claim."
Kunnostetut puhelimet,refurbished Android phone,Commercial investigation: distinguish refurbished from ordinary used,it-IT,smartphone ricondizionato,smartphone ricondizionato,certified or professionally refurbished wording when the seller actually provides that process,Spanish/other-market wording; unexplained English head terms,runcheck-translation-profile-it-IT.md; current localized corpus; no single official UI term governs this broad concept,"Query: Italia ""smartphone Android usato"" controllare ""smartphone ricondizionato"" (it-IT/Italy, 2026-07-15). Consumer/editorial results distinguish usato from ricondizionato. https://www.altroconsumo.it/hi-tech/smartphone/speciali/smartphone-ricondizionati; https://www.smartgeneration.it/vendere-smartphone-android-online/",Not available. No Search Console export or API result was found in the project/reports on 2026-07-15.,MEDIUM,"Important source IDs: 2, 6, 141. Potential overlap: used vs refurbished intent must stay separate. Current term is corpus/title evidence, not a search-volume claim."
Korjaaminen vai vaihtaminen,repair or replace a phone,"Commercial/problem-solving: choose repair, battery replacement, or replacement device",fi-FI,korjata vai vaihtaa puhelin,korjata vai vaihtaa puhelin,"repair, service, battery replacement, or replacement-device wording according to the decision intent",untranslated English except protected terms; Swedish/other-market variants,runcheck-translation-profile-fi-FI.md; current localized corpus; no single official UI term governs this broad concept,"Query: ""käytetty Android-puhelin"" tarkistus kunnostettu puhelin (fi-FI/Finland, 2026-07-15). Local operator/retailer titles used käytetty Android-puhelin and kunnostettu puhelin. https://www.telia.fi/kauppa/puhelimet/kaytetyt-android-puhelimet; https://hobbyhall.fi/fi/puhelimet-alylaitteet-ja-kamerat/kunnostetut-puhelimet",Not available. No Search Console export or API result was found in the project/reports on 2026-07-15.,MEDIUM,"Important source IDs: 4, 17, 142, 143. Potential overlap: 4 vs 142 vs 143. Current term is corpus/title evidence, not a search-volume claim."
Korjaaminen vai vaihtaminen,repair or replace a phone,"Commercial/problem-solving: choose repair, battery replacement, or replacement device",sv-SE,reparera eller byta telefon,reparera eller byta telefon,"repair, service, battery replacement, or replacement-device wording according to the decision intent",untranslated English except protected terms; Finland-Swedish administrative wording,runcheck-translation-profile-sv-SE.md; current localized corpus; no single official UI term governs this broad concept,"Query: ""begagnad Android-telefon"" kontroll ""rekonditionerad telefon"" Sverige (sv-SE/Sweden, 2026-07-15). Local retailer titles/text used begagnad Android and rekonditionerad. https://shop.inrego.se/android/",Not available. No Search Console export or API result was found in the project/reports on 2026-07-15.,MEDIUM,"Important source IDs: 4, 17, 142, 143. Potential overlap: 4 vs 142 vs 143. Current term is corpus/title evidence, not a search-volume claim."
Korjaaminen vai vaihtaminen,repair or replace a phone,"Commercial/problem-solving: choose repair, battery replacement, or replacement device",nb-NO,reparere eller bytte telefon,reparere eller bytte telefon,"repair, service, battery replacement, or replacement-device wording according to the decision intent",Danish or Nynorsk wording; untranslated English except protected terms,runcheck-translation-profile-nb-NO.md; current localized corpus; no single official UI term governs this broad concept,"Query: Norge ""brukt Android-telefon"" sjekk ""renovert telefon"" (nb-NO/Norway, 2026-07-15). Results were insufficient to prove one refurbished synonym; retain profile term and require native review for commercial copy.",Not available. No Search Console export or API result was found in the project/reports on 2026-07-15.,MEDIUM,"Important source IDs: 4, 17, 142, 143. Potential overlap: 4 vs 142 vs 143. Current term is corpus/title evidence, not a search-volume claim."
Korjaaminen vai vaihtaminen,repair or replace a phone,"Commercial/problem-solving: choose repair, battery replacement, or replacement device",da-DK,reparere eller udskifte telefonen,reparere eller udskifte telefonen,"repair, service, battery replacement, or replacement-device wording according to the decision intent",Norwegian/Swedish wording; untranslated English except protected terms,runcheck-translation-profile-da-DK.md; current localized corpus; no single official UI term governs this broad concept,"Query: Danmark ""brugt Android-telefon"" tjek ""istandsat telefon"" (da-DK/Denmark, 2026-07-15). Local retailer result used genbrugt Android-telefon and professionelt istandsat; intent differs from ordinary used-device checks. https://elektroniks.dk/Kategori/telefoner/android-refurbished/",Not available. No Search Console export or API result was found in the project/reports on 2026-07-15.,MEDIUM,"Important source IDs: 4, 17, 142, 143. Potential overlap: 4 vs 142 vs 143. Current term is corpus/title evidence, not a search-volume claim."
Korjaaminen vai vaihtaminen,repair or replace a phone,"Commercial/problem-solving: choose repair, battery replacement, or replacement device",de-DE,Smartphone reparieren oder ersetzen,Smartphone reparieren oder ersetzen,"repair, service, battery replacement, or replacement-device wording according to the decision intent",unexplained English marketing terminology or invented compounds,runcheck-translation-profile-de-DE.md; current localized corpus; no single official UI term governs this broad concept,"Query: Deutschland ""gebrauchtes Android-Smartphone"" prüfen ""generalüberholtes Smartphone"" (de-DE/Germany, 2026-07-15). Results were insufficient for volume claims; profile/corpus terms are retained with MEDIUM confidence.",Not available. No Search Console export or API result was found in the project/reports on 2026-07-15.,MEDIUM,"Important source IDs: 4, 17, 142, 143. Potential overlap: 4 vs 142 vs 143. Current term is corpus/title evidence, not a search-volume claim."
Korjaaminen vai vaihtaminen,repair or replace a phone,"Commercial/problem-solving: choose repair, battery replacement, or replacement device",fr-FR,réparer ou remplacer un téléphone,réparer ou remplacer un téléphone,"repair, service, battery replacement, or replacement-device wording according to the decision intent",Canadian-French regional wording or unexplained English head terms,runcheck-translation-profile-fr-FR.md; current localized corpus; no single official UI term governs this broad concept,"Query: France ""smartphone Android d'occasion"" vérifier ""smartphone reconditionné"" (fr-FR/France, 2026-07-15). Local editorial/retail results distinguish d'occasion from reconditionné. https://www.quelbonplan.fr/quelnumerique/67c8121e6ce263b587581a50; https://www.reepeat.fr/produits/smartphones-et-objets-connectes/smartphone",Not available. No Search Console export or API result was found in the project/reports on 2026-07-15.,MEDIUM,"Important source IDs: 4, 17, 142, 143. Potential overlap: 4 vs 142 vs 143. Current term is corpus/title evidence, not a search-volume claim."
Korjaaminen vai vaihtaminen,repair or replace a phone,"Commercial/problem-solving: choose repair, battery replacement, or replacement device",es-ES,reparar o cambiar el móvil,reparar o cambiar el móvil,"repair, service, battery replacement, or replacement-device wording according to the decision intent",Latin American celular/computadora; unexplained English head terms,runcheck-translation-profile-es-ES.md; current localized corpus; no single official UI term governs this broad concept,"Query: España ""móvil Android de segunda mano"" comprobar ""móvil reacondicionado"" (es-ES/Spain, 2026-07-15). Spanish editorial results repeat móvil de segunda mano and móvil reacondicionado and distinguish the intents. https://www.elespanol.com/elandroidelibre/tutoriales/trucos/20230624/claves-fijarse-comprar-movil-segunda-mano/772672835_0.html; https://www.todoandroid.es/que-son-los-moviles-reacondicionados/",Not available. No Search Console export or API result was found in the project/reports on 2026-07-15.,MEDIUM,"Important source IDs: 4, 17, 142, 143. Potential overlap: 4 vs 142 vs 143. Current term is corpus/title evidence, not a search-volume claim."
Korjaaminen vai vaihtaminen,repair or replace a phone,"Commercial/problem-solving: choose repair, battery replacement, or replacement device",it-IT,riparare o sostituire lo smartphone,riparare o sostituire lo smartphone,"repair, service, battery replacement, or replacement-device wording according to the decision intent",Spanish/other-market wording; unexplained English head terms,runcheck-translation-profile-it-IT.md; current localized corpus; no single official UI term governs this broad concept,"Query: Italia ""smartphone Android usato"" controllare ""smartphone ricondizionato"" (it-IT/Italy, 2026-07-15). Consumer/editorial results distinguish usato from ricondizionato. https://www.altroconsumo.it/hi-tech/smartphone/speciali/smartphone-ricondizionati; https://www.smartgeneration.it/vendere-smartphone-android-online/",Not available. No Search Console export or API result was found in the project/reports on 2026-07-15.,MEDIUM,"Important source IDs: 4, 17, 142, 143. Potential overlap: 4 vs 142 vs 143. Current term is corpus/title evidence, not a search-volume claim."
Akun kunto,battery health,Informational/problem-solving: assess degradation and replacement need,fi-FI,akun kunto,akun kunto,manufacturer UI status term; battery condition in broad prose; keep capacity as a separate concept,akun terveys,https://support.google.com/pixelphone/answer/15738128?hl=fi; https://support.google.com/pixelphone/answer/7167687?hl=fi,"Query: ""akun kunto"" Android ""akku tyhjenee nopeasti"" (fi-FI/Finland, 2026-07-15). Titles/results used akun kunto, akku tyhjenee nopeasti and lataus; official Pixel and local Back Market result. https://support.google.com/pixelphone/answer/15738128?hl=fi; https://help.backmarket.com/hc/fi/articles/5659759777692-Miksi-laitteeni-akku-tyhjenee-niin-nopeasti",Not available. No Search Console export or API result was found in the project/reports on 2026-07-15.,HIGH,"Important source IDs: 11, 13, 16-19, 153-156. Potential overlap: 11 vs 13 vs brand guides. Current term is corpus/title evidence, not a search-volume claim."
Akun kunto,battery health,Informational/problem-solving: assess degradation and replacement need,sv-SE,batterihälsa,batterihälsa,manufacturer UI status term; battery condition in broad prose; keep capacity as a separate concept,batteritillstånd as a blanket replacement for general battery health; it may be valid as a manufacturer status label,https://support.google.com/pixelphone/answer/15738128?hl=sv; https://support.google.com/pixelphone/answer/7167687?hl=sv,"Query: ""batterihälsa"" Android ""batteriet laddas ur snabbt"" Sverige (sv-SE/Sweden, 2026-07-15). Official Pixel uses Batterihälsa; Samsung uses Batteristatus for its status result. https://support.google.com/pixelphone/answer/15738128?hl=sv; https://www.samsung.com/se/support/mobile-devices/how-to-check-the-battery-status-on-your-samsung-galaxy-phone/",Not available. No Search Console export or API result was found in the project/reports on 2026-07-15.,HIGH,"Important source IDs: 11, 13, 16-19, 153-156. Potential overlap: 11 vs 13 vs brand guides. Current term is corpus/title evidence, not a search-volume claim."
