sourceNumber,locale,published_url,topic_cluster,current_title,current_H1,current_meta_title,current_description,current_primary_term,recommended_primary_term,secondary_terms,search_intent,verdict,suggested_meta_title,suggested_meta_description,suggested_H1,suggested_intro_change,suggested_H2_changes,evidence,confidence,manual_review_required
2,sv-SE,https://runcheckapp.com/sv/artiklar/kopa-och-salja/sa-kontrollerar-du-om-en-begagnad-android-telefon-ar-i-bra-skick/,Käytetyn puhelimen tarkistus ja ostaminen,Så kontrollerar du om en begagnad Android-telefon är i bra skick,Så kontrollerar du om en begagnad Android-telefon är i bra skick,,"En telefon som använts i ett eller två år kan se felfri ut och ändå ha verkliga problem under ytan. Batterier försämras utan att det syns. Lagringskretsar blir långsammare. Sensorer börjar driva. Skärmen kanske svarar överallt utom på en liten yta i ett hörn, något ingen märker förrän bokstaven P ska skrivas på tangentbordet.",kontrollera en begagnad Android-telefon,kontrollera en begagnad Android-telefon,köpguide; jämförelse; värde,Commercial investigation: reduce purchase risk,PASS,KEEP,KEEP,KEEP,KEEP,KEEP,"Grammar: no confirmed error. Regional variety: no confirmed error. Technical meaning: no confirmed error. Primary term matches the locale profile and sampled official/SERP vocabulary. No GSC data. Query: ""begagnad Android-telefon"" kontroll ""rekonditionerad telefon"" Sverige (sv-SE/Sweden, 2026-07-15). Local retailer titles/text used begagnad Android and rekonditionerad. https://shop.inrego.se/android/",MEDIUM,FALSE
2,nb-NO,https://runcheckapp.com/nb/artikler/kjop-og-salg/slik-sjekker-du-om-en-brukt-android-telefon-er-i-god-stand/,Käytetyn puhelimen tarkistus ja ostaminen,Slik sjekker du om en brukt Android-telefon er i god stand,Slik sjekker du om en brukt Android-telefon er i god stand,,"En telefon som har vært brukt i ett eller to år, kan se helt fin ut og likevel ha reelle problemer under overflaten. Batterier svekkes uten synlige tegn. Lagringsbrikker blir langsommere. Sensorer driver ut av kalibrering. Skjermen kan reagere overalt bortsett fra et lite område i et hjørne som ingen oppdager før de prøver å skrive bokstaven P på tastaturet.",sjekke en brukt Android-telefon,sjekke en brukt Android-telefon,kjøpsguide; verdi,Commercial investigation: reduce purchase risk,MINOR,KEEP,KEEP,KEEP,KEEP,KEEP,"Grammar: no confirmed error. Regional variety: no confirmed error. Technical meaning: no confirmed error. Primary term matches the locale profile and sampled official/SERP vocabulary. listSummary is a tag list and should be rewritten manually. No GSC data. Query: Norge ""brukt Android-telefon"" sjekk ""renovert telefon"" (nb-NO/Norway, 2026-07-15). Results were insufficient to prove one refurbished synonym; retain profile term and require native review for commercial copy.",MEDIUM,TRUE
2,da-DK,https://runcheckapp.com/da/artikler/kob-og-salg/sadan-kontrollerer-du-om-en-brugt-android-telefon-er-i-god-stand/,Käytetyn puhelimen tarkistus ja ostaminen,"Sådan kontrollerer du, om en brugt Android-telefon er i god stand","Sådan kontrollerer du, om en brugt Android-telefon er i god stand",,"En telefon, der har været brugt i et år eller to, kan se fejlfri ud og stadig gemme på reelle problemer. Batterier nedbrydes uden synlige tegn. Lagerchips bliver langsommere. Sensorer driver. Skærmen reagerer måske overalt undtagen i et lille felt i det ene hjørne, som ingen opdager, før de prøver at skrive bogstavet P på tastaturet.",tjek af en brugt Android-telefon,tjek af en brugt Android-telefon,købsguide; værdi,Commercial investigation: reduce purchase risk,PASS,KEEP,KEEP,KEEP,KEEP,KEEP,"Grammar: no confirmed error. Regional variety: no confirmed error. Technical meaning: no confirmed error. Primary term matches the locale profile and sampled official/SERP vocabulary. No GSC data. Query: Danmark ""brugt Android-telefon"" tjek ""istandsat telefon"" (da-DK/Denmark, 2026-07-15). Local retailer result used genbrugt Android-telefon and professionelt istandsat; intent differs from ordinary used-device checks. https://elektroniks.dk/Kategori/telefoner/android-refurbished/",MEDIUM,FALSE
2,de-DE,https://runcheckapp.com/de/artikel/kaufen-und-verkaufen/so-prufst-du-ob-ein-gebrauchtes-android-smartphone-in-gutem-zustand-ist/,Käytetyn puhelimen tarkistus ja ostaminen,"So prüfst du, ob ein gebrauchtes Android-Smartphone in gutem Zustand ist","So prüfst du, ob ein gebrauchtes Android-Smartphone in gutem Zustand ist",,"Ein Smartphone kann nach ein oder zwei Jahren äußerlich tadellos aussehen und trotzdem ernsthafte Probleme haben. Akkus verschleißen unsichtbar. Speicherchips werden langsamer. Sensoren verlieren an Genauigkeit. Vielleicht reagiert das Display überall, nur nicht auf einer kleinen Fläche in der Ecke, die niemand bemerkt, bis auf der Tastatur ausgerechnet der Buchstabe P nicht funktioniert.",gebrauchtes Android-Smartphone prüfen,gebrauchtes Android-Smartphone prüfen,wert; gebrauchtes Android-Smartphone prüfen,Commercial investigation: reduce purchase risk,MINOR,KEEP,KEEP,KEEP,KEEP,KEEP,"Grammar: no confirmed error. Regional variety: no confirmed error. Technical meaning: no confirmed error. Primary term matches the locale profile and sampled official/SERP vocabulary. listSummary is a tag list and should be rewritten manually. No GSC data. Query: Deutschland ""gebrauchtes Android-Smartphone"" prüfen ""generalüberholtes Smartphone"" (de-DE/Germany, 2026-07-15). Results were insufficient for volume claims; profile/corpus terms are retained with MEDIUM confidence.",MEDIUM,TRUE
2,fr-FR,https://runcheckapp.com/fr/articles/achat-et-revente/comment-verifier-qu-un-smartphone-android-d-occasion-est-en-bon-etat/,Käytetyn puhelimen tarkistus ja ostaminen,Comment vérifier qu'un smartphone Android d'occasion est en bon état,Comment vérifier qu'un smartphone Android d'occasion est en bon état,,"Un téléphone utilisé pendant un an ou deux peut sembler impeccable tout en cachant de vrais problèmes. La batterie se dégrade sans signe visible. Les puces de stockage ralentissent. Les capteurs dérivent. L'écran peut répondre partout sauf sur une petite zone dans un coin, que personne ne remarque avant d'essayer de saisir la lettre P au clavier.",vérifier un smartphone Android d’occasion,vérifier un smartphone Android d’occasion,valeur; vérifier un smartphone Android d’occasion,Commercial investigation: reduce purchase risk,PASS,KEEP,KEEP,KEEP,KEEP,KEEP,"Grammar: no confirmed error. Regional variety: no confirmed error. Technical meaning: no confirmed error. Primary term matches the locale profile and sampled official/SERP vocabulary. No GSC data. Query: France ""smartphone Android d'occasion"" vérifier ""smartphone reconditionné"" (fr-FR/France, 2026-07-15). Local editorial/retail results distinguish d'occasion from reconditionné. https://www.quelbonplan.fr/quelnumerique/67c8121e6ce263b587581a50; https://www.reepeat.fr/produits/smartphones-et-objets-connectes/smartphone",MEDIUM,FALSE
2,es-ES,https://runcheckapp.com/es/articulos/compra-y-venta/como-comprobar-si-un-movil-android-de-segunda-mano-esta-en-buenas-condiciones/,Käytetyn puhelimen tarkistus ja ostaminen,Cómo comprobar si un móvil Android de segunda mano está en buenas condiciones,Cómo comprobar si un móvil Android de segunda mano está en buenas condiciones,,Un móvil usado durante uno o dos años puede parecer impecable y esconder problemas reales. Las baterías se degradan sin dejar señales visibles. Los chips de almacenamiento pierden rendimiento. Los sensores se descalibran. La pantalla puede responder bien en todas partes salvo en una pequeña zona de una esquina que nadie detecta hasta intentar escribir la letra P en el teclado.,comprobar un móvil Android de segunda mano,comprobar un móvil Android de segunda mano,guia de compra; valor,Commercial investigation: reduce purchase risk,PASS,KEEP,KEEP,KEEP,KEEP,KEEP,"Grammar: no confirmed error. Regional variety: no confirmed error. Technical meaning: no confirmed error. Primary term matches the locale profile and sampled official/SERP vocabulary. No GSC data. Query: España ""móvil Android de segunda mano"" comprobar ""móvil reacondicionado"" (es-ES/Spain, 2026-07-15). Spanish editorial results repeat móvil de segunda mano and móvil reacondicionado and distinguish the intents. https://www.elespanol.com/elandroidelibre/tutoriales/trucos/20230624/claves-fijarse-comprar-movil-segunda-mano/772672835_0.html; https://www.todoandroid.es/que-son-los-moviles-reacondicionados/",MEDIUM,FALSE
4,en,https://runcheckapp.com/articles/buying-selling/when-to-replace-vs-repair-phone/,Korjaaminen vai vaihtaminen,When should you replace your phone vs. repair it?,When should you replace your phone vs. repair it?,,"If the repair costs less than a third of what a replacement phone would cost, and the phone still has at least two years of software updates ahead, repair it. That handles about 80% of cases. The remaining 20% need a closer look at what's actually wrong and whether fixing it extends the phone's useful life in a meaningful way.",repair or replace a phone,repair or replace a phone,updates; security; software,"Commercial/problem-solving: choose repair, battery replacement, or replacement device",PASS,KEEP,KEEP,KEEP,KEEP,KEEP,English source baseline. Grammar/region/technical intent are the source of truth for localization. No GSC data was available; no English keyword rewrite proposed.,HIGH,FALSE
4,fi-FI,https://runcheckapp.com/fi/artikkelit/ostaminen-ja-myyminen/milloin-puhelin-kannattaa-korjata-ja-milloin-vaihtaa-uuteen/,Korjaaminen vai vaihtaminen,Milloin puhelin kannattaa korjata ja milloin vaihtaa uuteen?,Milloin puhelin kannattaa korjata ja milloin vaihtaa uuteen?,,"Jos korjaus maksaa alle kolmasosan vastaavan uuden tai kunnostetun puhelimen hinnasta ja laitteella on vähintään kaksi vuotta ohjelmistotukea jäljellä, korjaa se. Tämä ratkaisee noin 80 prosenttia tapauksista. Loput 20 prosenttia vaativat tarkempaa arviota siitä, mikä puhelimessa on vialla ja pidentääkö korjaus sen käyttöikää merkittävästi.",korjata vai vaihtaa puhelin,korjata vai vaihtaa puhelin,päivitykset; tietoturva; ohjelmisto,"Commercial/problem-solving: choose repair, battery replacement, or replacement device",MINOR,KEEP,KEEP,KEEP,KEEP,KEEP,"Grammar: no confirmed error. Regional variety: no confirmed error. Technical meaning: no confirmed error. Primary term matches the locale profile and sampled official/SERP vocabulary. listSummary is a tag list and should be rewritten manually. No GSC data. Query: ""käytetty Android-puhelin"" tarkistus kunnostettu puhelin (fi-FI/Finland, 2026-07-15). Local operator/retailer titles used käytetty Android-puhelin and kunnostettu puhelin. https://www.telia.fi/kauppa/puhelimet/kaytetyt-android-puhelimet; https://hobbyhall.fi/fi/puhelimet-alylaitteet-ja-kamerat/kunnostetut-puhelimet",MEDIUM,TRUE
4,sv-SE,https://runcheckapp.com/sv/artiklar/kopa-och-salja/nar-bor-du-byta-telefon-i-stallet-for-att-reparera-den/,Korjaaminen vai vaihtaminen,När bör du byta telefon i stället för att reparera den?,När bör du byta telefon i stället för att reparera den?,,"Om reparationen kostar mindre än en tredjedel av en jämförbar ersättningstelefon och den gamla telefonen har minst två års programvaruuppdateringar kvar, reparera den. Den regeln löser ungefär 80 % av fallen. De återstående 20 % kräver en närmare titt på vad som faktiskt är fel och om reparationen förlänger telefonens användbara liv på ett meningsfullt sätt.",reparera eller byta telefon,reparera eller byta telefon,uppdateringar; säkerhet; programvara,"Commercial/problem-solving: choose repair, battery replacement, or replacement device",MINOR,KEEP,KEEP,KEEP,KEEP,KEEP,"Grammar: no confirmed error. Regional variety: no confirmed error. Technical meaning: no confirmed error. Primary term matches the locale profile and sampled official/SERP vocabulary. listSummary is a tag list and should be rewritten manually. No GSC data. Query: ""begagnad Android-telefon"" kontroll ""rekonditionerad telefon"" Sverige (sv-SE/Sweden, 2026-07-15). Local retailer titles/text used begagnad Android and rekonditionerad. https://shop.inrego.se/android/",MEDIUM,TRUE
4,nb-NO,https://runcheckapp.com/nb/artikler/kjop-og-salg/nar-bor-du-bytte-telefonen-og-nar-bor-du-reparere-den/,Korjaaminen vai vaihtaminen,"Når bør du bytte telefonen, og når bør du reparere den?","Når bør du bytte telefonen, og når bør du reparere den?",,"Hvis reparasjonen koster mindre enn en tredel av prisen på en tilsvarende erstatning, og telefonen fortsatt har minst to år med programvareoppdateringer igjen, bør du reparere den. Det dekker omtrent 80 % av tilfellene. De siste 20 % krever en nærmere vurdering av hva som faktisk er galt, og om reparasjonen forlenger telefonens nyttige levetid på en meningsfull måte.",reparere eller bytte telefon,reparere eller bytte telefon,oppdateringer; sikkerhet; programvare,"Commercial/problem-solving: choose repair, battery replacement, or replacement device",MINOR,KEEP,KEEP,KEEP,KEEP,KEEP,"Grammar: no confirmed error. Regional variety: no confirmed error. Technical meaning: no confirmed error. Primary term matches the locale profile and sampled official/SERP vocabulary. listSummary is a tag list and should be rewritten manually. No GSC data. Query: Norge ""brukt Android-telefon"" sjekk ""renovert telefon"" (nb-NO/Norway, 2026-07-15). Results were insufficient to prove one refurbished synonym; retain profile term and require native review for commercial copy.",MEDIUM,TRUE
4,da-DK,https://runcheckapp.com/da/artikler/kob-og-salg/hvornar-bor-du-udskifte-telefonen-i-stedet-for-at-reparere-den/,Korjaaminen vai vaihtaminen,Hvornår bør du udskifte telefonen i stedet for at reparere den?,Hvornår bør du udskifte telefonen i stedet for at reparere den?,,"Hvis reparationen koster mindre end en tredjedel af en sammenlignelig erstatningstelefon, og telefonen stadig har mindst to års softwareopdateringer foran sig, bør du reparere den. Den regel dækker cirka 80 % af tilfældene. De sidste 20 % kræver et nærmere blik på, hvad der faktisk er galt, og om reparationen forlænger telefonens brugbare levetid i mærkbar grad.",reparere eller udskifte telefonen,reparere eller udskifte telefonen,opdateringer; sikkerhed; software,"Commercial/problem-solving: choose repair, battery replacement, or replacement device",MINOR,KEEP,KEEP,KEEP,KEEP,KEEP,"Grammar: no confirmed error. Regional variety: no confirmed error. Technical meaning: no confirmed error. Primary term matches the locale profile and sampled official/SERP vocabulary. listSummary is a tag list and should be rewritten manually. No GSC data. Query: Danmark ""brugt Android-telefon"" tjek ""istandsat telefon"" (da-DK/Denmark, 2026-07-15). Local retailer result used genbrugt Android-telefon and professionelt istandsat; intent differs from ordinary used-device checks. https://elektroniks.dk/Kategori/telefoner/android-refurbished/",MEDIUM,TRUE
4,de-DE,https://runcheckapp.com/de/artikel/kaufen-und-verkaufen/wann-solltest-du-dein-smartphone-ersetzen-und-wann-reparieren-lassen/,Korjaaminen vai vaihtaminen,Wann solltest du dein Smartphone ersetzen und wann reparieren lassen?,Wann solltest du dein Smartphone ersetzen und wann reparieren lassen?,,"Kostet die Reparatur weniger als ein Drittel eines vergleichbaren Ersatzgeräts und erhält das Smartphone noch mindestens zwei Jahre Softwareupdates, solltest du es reparieren lassen. Damit sind ungefähr 80 % der Fälle abgedeckt. Bei den übrigen 20 % kommt es genauer darauf an, was tatsächlich defekt ist und ob die Reparatur die sinnvolle Nutzungsdauer spürbar verlängert.",Smartphone reparieren oder ersetzen,Smartphone reparieren oder ersetzen,updates; sicherheit; software,"Commercial/problem-solving: choose repair, battery replacement, or replacement device",MINOR,KEEP,KEEP,KEEP,KEEP,KEEP,"Grammar: no confirmed error. Regional variety: no confirmed error. Technical meaning: no confirmed error. Primary term matches the locale profile and sampled official/SERP vocabulary. listSummary is a tag list and should be rewritten manually. No GSC data. Query: Deutschland ""gebrauchtes Android-Smartphone"" prüfen ""generalüberholtes Smartphone"" (de-DE/Germany, 2026-07-15). Results were insufficient for volume claims; profile/corpus terms are retained with MEDIUM confidence.",MEDIUM,TRUE
