"locale","source_article_id","translated_file","published_url","topic_cluster","severity","finding_type","current_text","suggested_text","evidence","confidence","recommended_action","requires_url_change","requires_manual_review"
"da-DK","159","src/content/articles/da/brands/xiaomi-cit-menuen-skjulte-hardwaretests-til-xiaomi-redmi-og-poco.md","https://runcheckapp.com/da/artikler/maerkeguides/xiaomi-cit-menuen-skjulte-hardwaretests-til-xiaomi-redmi-og-poco/","Android settings and diagnostics","P2","generic_internal_link_copy","hardware, test og diagnostik","CIT er den hurtigste indbyggede hardwarekontrol på de fleste Xiaomi-telefoner, herunder Redmi- og…","Exact match to scripts/import-runcheck-articles.mjs buildLocalizedListSummary() fallback: first three localized tags joined as prose.","high","Replace with an article-specific 70-110 character card summary; the generated suggestion is a draft and must be checked by a native reviewer.","false","true"
"da-DK","142","src/content/articles/da/buying-selling/batteriskift-eller-ny-telefon-kan-det-betale-sig.md","https://runcheckapp.com/da/artikler/kob-og-salg/batteriskift-eller-ny-telefon-kan-det-betale-sig/","repair, warranty and consumer decisions","P2","generic_internal_link_copy","købsguide, android og sammenligning","Praktisk guide til prisen på batteriskift til Android sammenlignet med en ny telefon, med danske…","Exact match to scripts/import-runcheck-articles.mjs buildLocalizedListSummary() fallback: first three localized tags joined as prose.","high","Replace with an article-specific 70-110 character card summary; the generated suggestion is a draft and must be checked by a native reviewer.","false","true"
"da-DK","4","src/content/articles/da/buying-selling/hvornar-bor-du-udskifte-telefonen-i-stedet-for-at-reparere-den.md","https://runcheckapp.com/da/artikler/kob-og-salg/hvornar-bor-du-udskifte-telefonen-i-stedet-for-at-reparere-den/","repair, warranty and consumer decisions","P2","generic_internal_link_copy","android, opdateringer og sikkerhed","Hvis reparationen koster mindre end en tredjedel af en sammenlignelig erstatningstelefon, og telefonen stadig…","Exact match to scripts/import-runcheck-articles.mjs buildLocalizedListSummary() fallback: first three localized tags joined as prose.","high","Replace with an article-specific 70-110 character card summary; the generated suggestion is a draft and must be checked by a native reviewer.","false","true"
"da-DK","144","src/content/articles/da/buying-selling/sadan-far-du-mest-muligt-for-din-gamle-android-telefon.md","https://runcheckapp.com/da/artikler/kob-og-salg/sadan-far-du-mest-muligt-for-din-gamle-android-telefon/","buying used or refurbished phones","P2","generic_internal_link_copy","købsguide, android og sammenligning","Du nulstiller din gamle Galaxy, lægger den i en skuffe ""i en uge"", og seks måneder senere er den langt mindre…","Exact match to scripts/import-runcheck-articles.mjs buildLocalizedListSummary() fallback: first three localized tags joined as prose.","high","Replace with an article-specific 70-110 character card summary; the generated suggestion is a draft and must be checked by a native reviewer.","false","true"
"da-DK","141","src/content/articles/da/buying-selling/sadan-vurderer-du-en-brugt-telefon-for-kob.md","https://runcheckapp.com/da/artikler/kob-og-salg/sadan-vurderer-du-en-brugt-telefon-for-kob/","buying used or refurbished phones","P2","generic_internal_link_copy","sammenligning, apps og android","Trinvis guide til at vurdere en brugt Android-telefon før køb, herunder kontrol af IMEI, batteritilstand…","Exact match to scripts/import-runcheck-articles.mjs buildLocalizedListSummary() fallback: first three localized tags joined as prose.","high","Replace with an article-specific 70-110 character card summary; the generated suggestion is a draft and must be checked by a native reviewer.","false","true"
"da-DK","50","src/content/articles/da/charging/de-bedste-opladningsvaner-til-android-i-2026.md","https://runcheckapp.com/da/artikler/opladning/de-bedste-opladningsvaner-til-android-i-2026/","charging and chargers","P2","generic_internal_link_copy","opladning, batteri og android","Metabeskrivelse: Aktuelle råd om opladning af Android-batterier i 2026, herunder 20-80 %, varme…","Exact match to scripts/import-runcheck-articles.mjs buildLocalizedListSummary() fallback: first three localized tags joined as prose.","high","Replace with an article-specific 70-110 character card summary; the generated suggestion is a draft and must be checked by a native reviewer.","false","true"
"da-DK","41","src/content/articles/da/charging/er-det-skadeligt-at-bruge-telefonen-mens-den-oplader.md","https://runcheckapp.com/da/artikler/opladning/er-det-skadeligt-at-bruge-telefonen-mens-den-oplader/","charging and chargers","P2","generic_internal_link_copy","opladning, batteri og android","Metabeskrivelse: Det er sikkert at bruge telefonen, mens den oplader, når du bruger en certificeret oplader og…","Exact match to scripts/import-runcheck-articles.mjs buildLocalizedListSummary() fallback: first three localized tags joined as prose.","high","Replace with an article-specific 70-110 character card summary; the generated suggestion is a draft and must be checked by a native reviewer.","false","true"
"da-DK","42","src/content/articles/da/charging/er-det-skadeligt-at-oplade-telefonen-natten-over.md","https://runcheckapp.com/da/artikler/opladning/er-det-skadeligt-at-oplade-telefonen-natten-over/","charging and chargers","P2","generic_internal_link_copy","opladning, batteri og android","Metabeskrivelse: Det er fint at oplade moderne telefoner natten over, når adaptiv opladning eller en grænse på…","Exact match to scripts/import-runcheck-articles.mjs buildLocalizedListSummary() fallback: first three localized tags joined as prose.","high","Replace with an article-specific 70-110 character card summary; the generated suggestion is a draft and must be checked by a native reviewer.","false","true"
"da-DK","52","src/content/articles/da/charging/hvorfor-bliver-min-telefon-varm-under-opladning.md","https://runcheckapp.com/da/artikler/opladning/hvorfor-bliver-min-telefon-varm-under-opladning/","charging and chargers","P2","generic_internal_link_copy","opladning, batteri og android","Metabeskrivelse: Forklarer, hvorfor Android-telefoner bliver varme under opladning, hvornår varmen er normal…","Exact match to scripts/import-runcheck-articles.mjs buildLocalizedListSummary() fallback: first three localized tags joined as prose.","high","Replace with an article-specific 70-110 character card summary; the generated suggestion is a draft and must be checked by a native reviewer.","false","true"
"da-DK","47","src/content/articles/da/charging/hvorfor-oplader-min-telefon-langsomt-arsager-og-losninger.md","https://runcheckapp.com/da/artikler/opladning/hvorfor-oplader-min-telefon-langsomt-arsager-og-losninger/","charging and chargers","P2","generic_internal_link_copy","opladning, batteri og android","Metabeskrivelse: Almindelige årsager til langsom opladning af en Android-telefon, og hvordan du undersøger…","Exact match to scripts/import-runcheck-articles.mjs buildLocalizedListSummary() fallback: first three localized tags joined as prose.","high","Replace with an article-specific 70-110 character card summary; the generated suggestion is a draft and must be checked by a native reviewer.","false","true"
"da-DK","49","src/content/articles/da/charging/originale-eller-tredjepartsopladere-gor-det-en-forskel.md","https://runcheckapp.com/da/artikler/opladning/originale-eller-tredjepartsopladere-gor-det-en-forskel/","charging and chargers","P2","generic_internal_link_copy","opladning, batteri og android","Metabeskrivelse: Hvornår originale Android-opladere har betydning, hvornår en velrenommeret USB-C-oplader fra…","Exact match to scripts/import-runcheck-articles.mjs buildLocalizedListSummary() fallback: first three localized tags joined as prose.","high","Replace with an article-specific 70-110 character card summary; the generated suggestion is a draft and must be checked by a native reviewer.","false","true"
"da-DK","37","src/content/articles/da/charging/sadan-far-du-batteriet-pa-din-android-telefon-til-at-holde-laengere.md","https://runcheckapp.com/da/artikler/opladning/sadan-far-du-batteriet-pa-din-android-telefon-til-at-holde-laengere/","charging and chargers","P2","generic_internal_link_copy","opladning, batteri og android","Praktiske Android-batteritips, der faktisk gør en forskel, blandt andet skærmindstillinger, svagt signal…","Exact match to scripts/import-runcheck-articles.mjs buildLocalizedListSummary() fallback: first three localized tags joined as prose.","high","Replace with an article-specific 70-110 character card summary; the generated suggestion is a draft and must be checked by a native reviewer.","false","true"
"da-DK","51","src/content/articles/da/charging/sadan-fungerer-intelligent-opladning-pa-android.md","https://runcheckapp.com/da/artikler/opladning/sadan-fungerer-intelligent-opladning-pa-android/","charging and chargers","P2","generic_internal_link_copy","batteri, tilstand og diagnostik","Metabeskrivelse: Forklarer Adaptiv opladning, Batteribeskyttelse, Optimering af opladning, Battery Health…","Exact match to scripts/import-runcheck-articles.mjs buildLocalizedListSummary() fallback: first three localized tags joined as prose.","high","Replace with an article-specific 70-110 character card summary; the generated suggestion is a draft and must be checked by a native reviewer.","false","true"
"da-DK","45","src/content/articles/da/charging/sadan-sammenligner-du-opladningshastigheder-pa-android.md","https://runcheckapp.com/da/artikler/opladning/sadan-sammenligner-du-opladningshastigheder-pa-android/","charging and chargers","P2","generic_internal_link_copy","opladning, batteri og android","Metabeskrivelse: Praktiske metoder til at sammenligne opladningshastigheder på Android ved hjælp af apps…","Exact match to scripts/import-runcheck-articles.mjs buildLocalizedListSummary() fallback: first three localized tags joined as prose.","high","Replace with an article-specific 70-110 character card summary; the generated suggestion is a draft and must be checked by a native reviewer.","false","true"
"da-DK","44","src/content/articles/da/charging/sadan-tester-du-om-din-telefonoplader-er-god.md","https://runcheckapp.com/da/artikler/opladning/sadan-tester-du-om-din-telefonoplader-er-god/","charging and chargers","P2","generic_internal_link_copy","opladning, batteri og android","Metabeskrivelse: Lær at teste, om opladeren til din Android-telefon leverer den rigtige effekt, ved hjælp af…","Exact match to scripts/import-runcheck-articles.mjs buildLocalizedListSummary() fallback: first three localized tags joined as prose.","high","Replace with an article-specific 70-110 character card summary; the generated suggestion is a draft and must be checked by a native reviewer.","false","true"
"da-DK","48","src/content/articles/da/charging/telefonen-vil-ikke-lade-op-sadan-finder-du-opladningsfejlen.md","https://runcheckapp.com/da/artikler/opladning/telefonen-vil-ikke-lade-op-sadan-finder-du-opladningsfejlen/","charging and chargers","P2","generic_internal_link_copy","opladning, batteri og android","Metabeskrivelse: En praktisk tjekliste til Android-opladning, der dækker stikkontakt, oplader, kabel…","Exact match to scripts/import-runcheck-articles.mjs buildLocalizedListSummary() fallback: first three localized tags joined as prose.","high","Replace with an article-specific 70-110 character card summary; the generated suggestion is a draft and must be checked by a native reviewer.","false","true"
"da-DK","46","src/content/articles/da/charging/usb-c-opladning-forklaret-watt-ampere-og-volt.md","https://runcheckapp.com/da/artikler/opladning/usb-c-opladning-forklaret-watt-ampere-og-volt/","charging and chargers","P2","generic_internal_link_copy","opladning, batteri og android","Metabeskrivelse: Hvad watt, ampere og volt betyder for opladning af Android-telefoner, hvordan USB Power…","Exact match to scripts/import-runcheck-articles.mjs buildLocalizedListSummary() fallback: first three localized tags joined as prose.","high","Replace with an article-specific 70-110 character card summary; the generated suggestion is a draft and must be checked by a native reviewer.","false","true"
"da-DK","139","src/content/articles/da/device-health/accubattery-vs-devcheck-vs-runcheck-hvilken-diagnoseapp-bor-du-bruge.md","https://runcheckapp.com/da/artikler/enhedstilstand/accubattery-vs-devcheck-vs-runcheck-hvilken-diagnoseapp-bor-du-bruge/","Android settings and diagnostics","P2","generic_internal_link_copy","sammenligning, apps og android","AccuBattery, DevCheck og runcheck sammenlignet efter batterisporing, hardwareoplysninger, understøttelse af…","Exact match to scripts/import-runcheck-articles.mjs buildLocalizedListSummary() fallback: first three localized tags joined as prose.","high","Replace with an article-specific 70-110 character card summary; the generated suggestion is a draft and must be checked by a native reviewer.","false","true"
"da-DK","140","src/content/articles/da/device-health/apps-til-kontrol-af-telefonens-tilstand-hvad-du-bor-se-efter-og-undga.md","https://runcheckapp.com/da/artikler/enhedstilstand/apps-til-kontrol-af-telefonens-tilstand-hvad-du-bor-se-efter-og-undga/","Android settings and diagnostics","P2","generic_internal_link_copy","sammenligning, apps og android","Sådan vælger du apps til kontrol af Android-telefoners tilstand i 2026, med advarselstegn, indbyggede…","Exact match to scripts/import-runcheck-articles.mjs buildLocalizedListSummary() fallback: first three localized tags joined as prose.","high","Replace with an article-specific 70-110 character card summary; the generated suggestion is a draft and must be checked by a native reviewer.","false","true"
"da-DK","10","src/content/articles/da/device-health/hvad-betyder-en-tilstandsscore-for-telefonen-og-hvordan-beregnes-den.md","https://runcheckapp.com/da/artikler/enhedstilstand/hvad-betyder-en-tilstandsscore-for-telefonen-og-hvordan-beregnes-den/","Android settings and diagnostics","P2","generic_internal_link_copy","temperatur, varme og android","Åbn Indstillinger på en hvilken som helst Android-telefon, og batterioplysningerne ligger ét sted, lagerdata…","Exact match to scripts/import-runcheck-articles.mjs buildLocalizedListSummary() fallback: first three localized tags joined as prose.","high","Replace with an article-specific 70-110 character card summary; the generated suggestion is a draft and must be checked by a native reviewer.","false","true"
"da-DK","3","src/content/articles/da/device-health/sadan-forlaenger-du-din-android-telefons-levetid.md","https://runcheckapp.com/da/artikler/enhedstilstand/sadan-forlaenger-du-din-android-telefons-levetid/","Android settings and diagnostics","P2","generic_internal_link_copy","lagerplads, android og oprydning","De fleste udskifter deres telefon efter tre til fire år, men hardwaren i en mellemklassetelefon fra 2022 eller…","Exact match to scripts/import-runcheck-articles.mjs buildLocalizedListSummary() fallback: first three localized tags joined as prose.","high","Replace with an article-specific 70-110 character card summary; the generated suggestion is a draft and must be checked by a native reviewer.","false","true"
"da-DK","9","src/content/articles/da/device-health/sadan-sikkerhedskopierer-du-din-android-telefon-for-fejlfinding.md","https://runcheckapp.com/da/artikler/enhedstilstand/sadan-sikkerhedskopierer-du-din-android-telefon-for-fejlfinding/","Android settings and diagnostics","P2","generic_internal_link_copy","ydeevne, hastighed og android","Sikkerhedskopiér telefonen, før du rydder appdata, nulstiller appindstillinger, bruger recovery mode eller…","Exact match to scripts/import-runcheck-articles.mjs buildLocalizedListSummary() fallback: first three localized tags joined as prose.","high","Replace with an article-specific 70-110 character card summary; the generated suggestion is a draft and must be checked by a native reviewer.","false","true"
"da-DK","138","src/content/articles/da/device-health/sammenligning-af-de-bedste-diagnoseapps-til-android-2026.md","https://runcheckapp.com/da/artikler/enhedstilstand/sammenligning-af-de-bedste-diagnoseapps-til-android-2026/","Android settings and diagnostics","P2","generic_internal_link_copy","sammenligning, apps og android","Sammenligning af diagnoseapps til Android i 2026, herunder AccuBattery, DevCheck, AIDA64, CPU-Z, Device Info…","Exact match to scripts/import-runcheck-articles.mjs buildLocalizedListSummary() fallback: first three localized tags joined as prose.","high","Replace with an article-specific 70-110 character card summary; the generated suggestion is a draft and must be checked by a native reviewer.","false","true"
"da-DK","112","src/content/articles/da/hardware/android-diagnosekoder-komplet-liste-efter-producent.md","https://runcheckapp.com/da/artikler/hardware/android-diagnosekoder-komplet-liste-efter-producent/","Android settings and diagnostics","P2","generic_internal_link_copy","diagnostik, sensorer og android","Android-diagnosekoder til opkaldsappen efter producent, herunder Samsung, Pixel, Xiaomi, OnePlus, Motorola…","Exact match to scripts/import-runcheck-articles.mjs buildLocalizedListSummary() fallback: first three localized tags joined as prose.","high","Replace with an article-specific 70-110 character card summary; the generated suggestion is a draft and must be checked by a native reviewer.","false","true"
"da-DK","113","src/content/articles/da/hardware/android-servicekoder-efter-maerke-hvilke-virker-stadig.md","https://runcheckapp.com/da/artikler/hardware/android-servicekoder-efter-maerke-hvilke-virker-stadig/","Android settings and diagnostics","P2","generic_internal_link_copy","diagnostik, sensorer og android","Fungerende Android-servicekoder efter mærke med aktuelle noter om Android 17, Pixel-enheder, Samsung, Xiaomi…","Exact match to scripts/import-runcheck-articles.mjs buildLocalizedListSummary() fallback: first three localized tags joined as prose.","high","Replace with an article-specific 70-110 character card summary; the generated suggestion is a draft and must be checked by a native reviewer.","false","true"
"da-DK","105","src/content/articles/da/hardware/guide-til-test-af-android-sensorer-sadan-kontrollerer-diagnosticerer-og-loser-du.md","https://runcheckapp.com/da/artikler/hardware/guide-til-test-af-android-sensorer-sadan-kontrollerer-diagnosticerer-og-loser-du/","Android settings and diagnostics","P2","generic_internal_link_copy","hardware, test og diagnostik","Hvordan ved du, om automatisk rotation er gået i stykker, kompasset er forvirret, eller en app bare opfører…","Exact match to scripts/import-runcheck-articles.mjs buildLocalizedListSummary() fallback: first three localized tags joined as prose.","high","Replace with an article-specific 70-110 character card summary; the generated suggestion is a draft and must be checked by a native reviewer.","false","true"
"da-DK","117","src/content/articles/da/hardware/hvad-er-en-naerhedssensor-og-hvorfor-er-den-vigtig.md","https://runcheckapp.com/da/artikler/hardware/hvad-er-en-naerhedssensor-og-hvorfor-er-den-vigtig/","Android settings and diagnostics","P2","generic_internal_link_copy","diagnostik, sensorer og android","Sådan fungerer nærhedssensoren i din Android-telefon, hvorfor opkald opfører sig mærkeligt, når den svigter…","Exact match to scripts/import-runcheck-articles.mjs buildLocalizedListSummary() fallback: first three localized tags joined as prose.","high","Replace with an article-specific 70-110 character card summary; the generated suggestion is a draft and must be checked by a native reviewer.","false","true"
"da-DK","110","src/content/articles/da/hardware/sadan-tester-du-kvaliteten-af-telefonens-kamera.md","https://runcheckapp.com/da/artikler/hardware/sadan-tester-du-kvaliteten-af-telefonens-kamera/","Android settings and diagnostics","P2","generic_internal_link_copy","hardware, test og diagnostik","Praktiske måder at kontrollere kamerakvaliteten på en Android-telefon, herunder autofokus, skift mellem…","Exact match to scripts/import-runcheck-articles.mjs buildLocalizedListSummary() fallback: first three localized tags joined as prose.","high","Replace with an article-specific 70-110 character card summary; the generated suggestion is a draft and must be checked by a native reviewer.","false","true"
"da-DK","115","src/content/articles/da/hardware/sadan-tester-du-nfc-pa-android.md","https://runcheckapp.com/da/artikler/hardware/sadan-tester-du-nfc-pa-android/","Android settings and diagnostics","P2","generic_internal_link_copy","diagnostik, sensorer og android","Enkle måder at kontrollere, om NFC virker på din Android-telefon, med Indstillinger, kontaktløse kort, Google…","Exact match to scripts/import-runcheck-articles.mjs buildLocalizedListSummary() fallback: first three localized tags joined as prose.","high","Replace with an article-specific 70-110 character card summary; the generated suggestion is a draft and must be checked by a native reviewer.","false","true"
"da-DK","114","src/content/articles/da/hardware/sadan-tester-du-telefonens-fingeraftrykssensor-pa-android.md","https://runcheckapp.com/da/artikler/hardware/sadan-tester-du-telefonens-fingeraftrykssensor-pa-android/","Android settings and diagnostics","P2","generic_internal_link_copy","diagnostik, sensorer og android","Sådan kontrollerer du, om fingeraftrykssensoren på din Android-telefon virker, med indbygget diagnostik…","Exact match to scripts/import-runcheck-articles.mjs buildLocalizedListSummary() fallback: first three localized tags joined as prose.","high","Replace with an article-specific 70-110 character card summary; the generated suggestion is a draft and must be checked by a native reviewer.","false","true"
"da-DK","108","src/content/articles/da/hardware/sadan-tester-du-telefonens-opladningsport.md","https://runcheckapp.com/da/artikler/hardware/sadan-tester-du-telefonens-opladningsport/","Android settings and diagnostics","P2","generic_internal_link_copy","opladning, batteri og android","Lær at teste opladningsporten på en Android-telefon med kontrol af kabel, sikker rengøring, måling af…","Exact match to scripts/import-runcheck-articles.mjs buildLocalizedListSummary() fallback: first three localized tags joined as prose.","high","Replace with an article-specific 70-110 character card summary; the generated suggestion is a draft and must be checked by a native reviewer.","false","true"
"da-DK","109","src/content/articles/da/hardware/sadan-tester-du-telefonens-vibrationsmotor.md","https://runcheckapp.com/da/artikler/hardware/sadan-tester-du-telefonens-vibrationsmotor/","Android settings and diagnostics","P2","generic_internal_link_copy","hardware, test og diagnostik","Hurtige måder at teste vibrationsmotoren i en Android-telefon med kontrol af indstillinger, tastaturfeedback…","Exact match to scripts/import-runcheck-articles.mjs buildLocalizedListSummary() fallback: first three localized tags joined as prose.","high","Replace with an article-specific 70-110 character card summary; the generated suggestion is a draft and must be checked by a native reviewer.","false","true"
